Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
21.04.2025 09:36:28,21.04.2025 09:37:37,XAUUSD.STD,Buy,0.1,3382.99,3390.49,3388.98,3390.49,151,15.1,00:00:01:09,0.28%
17.04.2025 21:56:57,17.04.2025 22:16:26,XAUUSD.STD,Sell,0.1,3322.22,3314.72,3316.23,3314.72,151,15.1,00:00:19:29,0.29%
17.04.2025 15:32:31,17.04.2025 15:33:05,XAUUSD.STD,Buy,0.1,3321.21,3328.71,3327.21,3328.71,150,15,00:00:00:34,0.28%
17.04.2025 09:28:55,17.04.2025 09:31:00,XAUUSD.STD,Buy,0.1,3322.02,3329.52,3328.35,3329.52,117,11.7,00:00:02:05,0.22%
16.04.2025 16:00:08,16.04.2025 16:01:14,XAUUSD.STD,Buy,0.1,3300.41,3307.91,3306.39,3307.91,152,15.2,00:00:01:06,0.29%
16.04.2025 15:45:24,16.04.2025 15:52:40,XAUUSD.STD,Sell,0.1,3318.07,3310.57,3312.07,3310.57,150,15,00:00:07:16,0.29%
16.04.2025 13:25:27,16.04.2025 14:02:26,XAUUSD.STD,Sell,0.1,3309.73,3302.23,3303.73,3302.23,150,15,00:00:36:59,0.29%
16.04.2025 11:44:35,16.04.2025 11:45:23,XAUUSD.STD,Buy,0.1,3286.06,3293.56,3292.1,3293.56,146,14.6,00:00:00:48,0.28%
16.04.2025 11:30:48,16.04.2025 11:31:38,XAUUSD.STD,Buy,0.1,3290.65,3298.15,3296.56,3290.65,-591,-59.1,00:00:00:50,-1.12%
16.04.2025 10:16:44,16.04.2025 10:17:13,XAUUSD.STD,Sell,0.1,3302.58,3295.08,3296.58,3295.08,150,15,00:00:00:29,0.29%
15.04.2025 15:11:32,15.04.2025 15:20:48,XAUUSD.STD,Sell,0.1,3228.26,3220.76,3222.3,3220.76,154,15.4,00:00:09:16,0.29%
15.04.2025 15:00:37,15.04.2025 15:13:02,XAUUSD.STD,Buy,0.1,3215.25,3222.75,3221.25,3222.75,150,15,00:00:12:25,0.29%
15.04.2025 13:01:30,15.04.2025 13:02:36,XAUUSD.STD,Buy,0.1,3216.8,3224.3,3222.8,3224.3,150,15,00:00:01:06,0.29%
15.04.2025 11:18:44,15.04.2025 11:33:48,XAUUSD.STD,Sell,0.1,3235.78,3228.28,3229.78,3228.28,150,15,00:00:15:04,0.29%
15.04.2025 10:15:56,15.04.2025 10:59:18,XAUUSD.STD,Buy,0.1,3217.28,3224.78,3223.28,3224.78,150,15,00:00:43:22,0.29%
14.04.2025 20:00:49,14.04.2025 20:34:41,XAUUSD.STD,Sell,0.1,3215.19,3207.69,3209.2,3215.19,-599,-59.9,00:00:33:52,-1.15%
14.04.2025 18:47:38,14.04.2025 19:07:04,XAUUSD.STD,Buy,0.1,3194.84,3202.34,3200.91,3202.34,143,14.3,00:00:19:26,0.27%
14.04.2025 17:35:44,14.04.2025 17:47:11,XAUUSD.STD,Buy,0.1,3203.54,3211.04,3209.73,3211.04,131,13.1,00:00:11:27,0.25%
14.04.2025 17:19:28,14.04.2025 17:33:08,XAUUSD.STD,Sell,0.1,3207.4,3199.9,3201.36,3207.4,-604,-60.4,00:00:13:40,-1.15%
14.04.2025 17:11:20,14.04.2025 17:12:41,XAUUSD.STD,Buy,0.1,3195.92,3203.42,3201.92,3203.42,150,15,00:00:01:21,0.29%
14.04.2025 16:20:30,14.04.2025 16:24:57,XAUUSD.STD,Buy,0.1,3193,3200.5,3198.98,3200.5,152,15.2,00:00:04:27,0.29%
14.04.2025 15:17:42,14.04.2025 15:19:59,XAUUSD.STD,Sell,0.1,3230.85,3223.35,3224.85,3223.35,150,15,00:00:02:17,0.29%
14.04.2025 12:52:57,14.04.2025 13:20:12,XAUUSD.STD,Buy,0.1,3218.03,3225.53,3224.03,3218.03,-600,-60,00:00:27:15,-1.14%
14.04.2025 10:57:18,14.04.2025 11:00:20,XAUUSD.STD,Buy,0.1,3221.02,3228.52,3227.2,3228.52,132,13.2,00:00:03:02,0.25%
14.04.2025 10:55:05,14.04.2025 10:57:00,XAUUSD.STD,Buy,0.1,3220.65,3228.15,3226.65,3228.15,150,15,00:00:01:55,0.29%
14.04.2025 10:13:52,14.04.2025 10:24:28,XAUUSD.STD,Buy,0.1,3224.26,3231.76,3230.26,3231.76,150,15,00:00:10:36,0.29%
14.04.2025 10:11:45,14.04.2025 10:12:14,XAUUSD.STD,Sell,0.1,3236.05,3228.55,3230,3229.64,36,3.6,00:00:00:29,0.07%
11.04.2025 16:48:40,11.04.2025 16:51:37,XAUUSD.STD,Sell,0.1,3233.3,3225.8,3227.22,3225.8,142,14.2,00:00:02:57,0.27%
11.04.2025 16:41:20,11.04.2025 16:41:47,XAUUSD.STD,Buy,0.1,3231.11,3238.61,3237.01,3238.61,160,16,00:00:00:27,0.31%
11.04.2025 11:28:38,11.04.2025 11:46:12,XAUUSD.STD,Buy,0.1,3212.99,3220.49,3219.12,3220.49,137,13.7,00:00:17:34,0.26%
11.04.2025 11:13:22,11.04.2025 11:15:08,XAUUSD.STD,Sell,0.1,3224.63,3217.13,3217.02,3217.13,-11,-1.1,00:00:01:46,-0.02%
11.04.2025 11:14:38,11.04.2025 11:15:08,XAUUSD.STD,Sell,0.1,3224.63,3217.13,3218.66,3217.13,153,15.3,00:00:00:30,0.30%
10.04.2025 15:42:09,10.04.2025 15:43:31,XAUUSD.STD,Buy,0.1,3113.96,3121.46,3119.94,3121.46,152,15.2,00:00:01:22,0.29%
10.04.2025 15:33:55,10.04.2025 15:35:22,XAUUSD.STD,Sell,0.1,3131.53,3124.03,3125.54,3124.03,151,15.1,00:00:01:27,0.29%
10.04.2025 13:28:11,10.04.2025 13:30:44,XAUUSD.STD,Sell,0.1,3125.89,3118.39,3119.9,3118.39,151,15.1,00:00:02:33,0.29%
10.04.2025 10:35:24,10.04.2025 10:36:30,XAUUSD.STD,Sell,0.1,3117.97,3110.47,3111.95,3110.47,148,14.8,00:00:01:06,0.29%
09.04.2025 20:11:10,09.04.2025 20:15:33,XAUUSD.STD,Sell,0.1,3090.33,3082.83,3084.33,3090.33,-600,-60,00:00:04:23,-1.16%
09.04.2025 17:59:27,09.04.2025 18:00:30,XAUUSD.STD,Sell,0.1,3076,3068.5,3069.98,3068.5,148,14.8,00:00:01:03,0.29%
09.04.2025 16:58:29,09.04.2025 17:04:08,XAUUSD.STD,Sell,0.1,3080.35,3072.85,3074.37,3072.85,152,15.2,00:00:05:39,0.30%
09.04.2025 16:49:51,09.04.2025 16:50:42,XAUUSD.STD,Buy,0.1,3067.87,3075.37,3073.85,3074.27,42,4.2,00:00:00:51,0.08%
09.04.2025 16:45:57,09.04.2025 16:46:06,XAUUSD.STD,Sell,0.1,3077.42,3069.92,3071.45,3069.92,153,15.3,00:00:00:09,0.30%
09.04.2025 16:06:48,09.04.2025 16:07:14,XAUUSD.STD,Buy,0.1,3048.41,3055.91,3054.42,3055.91,149,14.9,00:00:00:26,0.29%
09.04.2025 13:28:52,09.04.2025 13:31:04,XAUUSD.STD,Buy,0.1,3033.59,3041.09,3039.59,3041.09,150,15,00:00:02:12,0.29%
09.04.2025 13:09:07,09.04.2025 13:14:04,XAUUSD.STD,Buy,0.1,3040.68,3048.18,3046.62,3040.68,-594,-59.4,00:00:04:57,-1.15%
09.04.2025 11:00:26,09.04.2025 11:09:25,XAUUSD.STD,Buy,0.1,3035.21,3042.71,3041.21,3042.71,150,15,00:00:08:59,0.29%
09.04.2025 10:43:12,09.04.2025 10:59:17,XAUUSD.STD,Buy,0.1,3041.31,3048.81,3047.23,3041.31,-592,-59.2,00:00:16:05,-1.14%
09.04.2025 09:45:08,09.04.2025 09:51:47,XAUUSD.STD,Buy,0.1,3024.97,3032.47,3030.97,3032.47,150,15,00:00:06:39,0.29%
08.04.2025 19:03:18,08.04.2025 19:07:01,XAUUSD.STD,Buy,0.1,2994.57,3002.07,3000.57,2994.57,-600,-60,00:00:03:43,-1.14%
08.04.2025 17:03:38,08.04.2025 17:05:23,XAUUSD.STD,Buy,0.1,3008.19,3015.69,3014.2,3015.69,149,14.9,00:00:01:45,0.28%
08.04.2025 15:47:09,08.04.2025 15:47:50,XAUUSD.STD,Buy,0.1,3000.43,3007.93,3006.43,3007.93,150,15,00:00:00:41,0.29%
08.04.2025 15:21:46,08.04.2025 15:22:44,XAUUSD.STD,Buy,0.1,3003.28,3010.78,3009.28,3010.78,150,15,00:00:00:58,0.29%
08.04.2025 12:42:37,08.04.2025 12:48:50,XAUUSD.STD,Sell,0.1,3011.74,3004.24,3005.64,3004.24,140,14,00:00:06:13,0.27%
08.04.2025 12:46:48,08.04.2025 12:48:50,XAUUSD.STD,Sell,0.1,3011.74,3004.24,3005.74,3004.24,150,15,00:00:02:02,0.29%
08.04.2025 10:37:43,08.04.2025 10:40:27,XAUUSD.STD,Buy,0.1,3000.21,3007.71,3006.2,3007.71,151,15.1,00:00:02:44,0.29%
07.04.2025 17:15:59,07.04.2025 17:16:32,XAUUSD.STD,Buy,0.1,3028.55,3036.05,3034.55,3036.05,150,15,00:00:00:33,0.29%
